,DateTime,Hydro,Coal,Utility Solar,Petroleum Liquids,All,Natural Gas,Petroleum Coke,Other Renewable
0,2001-01-01,321.292333333,7566.54808333,,10.2966666667,7951.46875,52.5355833333,,0.796083333333
1,2001-02-01,326.318083333,7542.19716667,,11.1268333333,7954.29233333,54.3055,,3.32916666667
2,2001-03-01,348.783833333,7460.66441667,,11.265,7927.885,57.9194166667,,5.7685
3,2001-04-01,372.54025,7405.51966667,,11.42225,7926.95216667,62.3615833333,,8.64341666667
4,2001-05-01,401.811166667,7366.35166667,,12.5148333333,7952.66041667,65.5761666667,,11.2818333333
5,2001-06-01,441.762833333,7323.29025,,13.2443333333,7974.4055,67.7249166667,,13.02475
6,2001-07-01,411.3735,7290.859,,13.1050833333,7937.45225,81.18,,15.8696666667
7,2001-08-01,378.086833333,7247.26041667,,13.3446666667,7909.026,106.80975,,18.8398333333
8,2001-09-01,337.16475,7202.74325,,13.02675,7857.15766667,110.73475,,21.4508333333
9,2001-10-01,332.992166667,7138.812,,13.26125,7820.64875,115.921,,23.94025
10,2001-11-01,318.897916667,7044.12275,,13.5908333333,7730.7785,115.994666667,,26.6405833333
11,2001-12-01,327.5255,6986.36408333,,13.7214166667,7695.91483333,115.624916667,,29.3328333333
12,2002-01-01,335.39575,6939.52058333,,14.4591666667,7675.55566667,114.47575,241.248916667,30.4555
13,2002-02-01,341.675583333,7000.09533333,,14.9765,7727.91816667,116.108916667,224.233333333,30.6965
14,2002-03-01,330.220833333,7072.492,,16.12075,7759.93425,113.04825,197.950666667,29.89125
15,2002-04-01,314.330583333,7027.88333333,,16.7419166667,7669.44341667,107.8375,175.289583333,27.01025
16,2002-05-01,303.040583333,7018.209,,14.9275,7640.55033333,104.381,174.325916667,25.1749166667
17,2002-06-01,278.56075,6984.20591667,,14.4745833333,7577.77341667,102.0265,172.61375,25.1708333333
18,2002-07-01,293.472333333,6945.26566667,,14.74375,7553.152,86.7734166667,187.256,24.7193333333
19,2002-08-01,304.28975,6932.72266667,,14.2295,7528.04575,55.9045,195.594916667,24.2004166667
20,2002-09-01,318.660333333,6924.99975,,14.46325,7527.15833333,48.1055,195.58875,24.055
21,2002-10-01,325.830583333,6897.80466667,,14.1866666667,7500.85075,39.9345833333,197.853666667,23.8136666667
22,2002-11-01,330.151083333,6919.306,,14.02275,7527.84466667,38.2195833333,200.923166667,23.7393333333
23,2002-12-01,327.107166667,6964.064,,13.6370833333,7588.055,37.0441666667,220.864416667,23.6774166667
24,2003-01-01,329.004333333,7005.04491667,,12.527,7643.23491667,37.0336666667,232.88225,24.9366666667
25,2003-02-01,330.007905833,7000.490745,,11.6856216667,7669.52991917,35.2924775,264.985166667,25.2662525
26,2003-03-01,334.165871667,7006.88669,,10.1377408333,7708.0784875,36.3832325,292.118333333,26.5437025
27,2003-04-01,334.247174167,7026.10857417,,9.69276083333,7758.469085,38.0509991667,318.969416667,29.5624925
28,2003-05-01,321.14897,6998.69970333,,9.85241166667,7733.2580975,42.3978675,328.068333333,31.2390608333
29,2003-06-01,315.514455,7068.2520475,,9.64829166667,7807.22200583,45.37354,335.0745,31.6457541667
30,2003-07-01,311.1123725,7100.7228275,,9.66325,7830.66283083,49.4634433333,326.189416667,31.8841866667
31,2003-08-01,311.62077,7112.14292333,,9.97007333333,7833.1833075,50.0830625,315.641666667,32.12406
32,2003-09-01,308.462355,7095.62750167,,9.668505,7803.31044417,46.9771616667,308.66325,32.3684191667
33,2003-10-01,307.350148333,7140.87555917,,9.5725575,7840.08852833,47.0652233333,300.896166667,32.7989558333
34,2003-11-01,308.89688,7170.14066583,,9.678255,7882.78973667,46.4858366667,312.866333333,33.2138483333
35,2003-12-01,315.801474167,7165.34580083,,9.93868916667,7868.83416667,46.6556683333,296.129583333,33.4818658333
36,2004-01-01,315.020916667,7176.70924917,,10.0531666667,7877.49559667,48.3199675,291.705083333,34.2514625
37,2004-02-01,309.715629167,7114.7008525,,10.6733816667,7813.04411917,52.1500716667,290.024583333,34.3727666667
38,2004-03-01,307.820710833,7061.7806775,,11.0336525,7755.37019333,51.8449825,287.1275,34.3385025
39,2004-04-01,307.870026667,7080.3289975,,10.87711,7774.22107,53.4403925,285.592916667,34.59821
40,2004-05-01,309.448541667,7139.0640225,,11.0279208333,7816.2303425,50.9692016667,269.982916667,34.2073225
41,2004-06-01,311.2764725,7126.35845333,,11.34639,7809.86389,55.2339941667,269.207833333,34.8229125
42,2004-07-01,303.4939375,7152.7959125,,10.8715308333,7856.780885,74.5572241667,278.565083333,34.877195
43,2004-08-01,295.449605833,7180.44515667,,10.4421525,7899.79573917,90.8341325,286.08025,34.9140233333
44,2004-09-01,288.031695833,7223.74385167,,10.7153516667,7959.76620083,111.882153333,288.665916667,35.05323
45,2004-10-01,284.9259025,7291.27678583,,10.6770841667,8043.66236583,124.772210833,295.145083333,35.19588
46,2004-11-01,272.64155,7312.808985,,10.3774025,8055.662835,129.075645833,294.215833333,34.8589158333
47,2004-12-01,257.938193333,7370.86515,,10.0494291667,8108.94874583,133.3404975,299.949916667,35.0398083333
48,2005-01-01,246.766083333,7423.59275,,9.80441666667,8151.8682625,137.837685,296.919333333,35.1176591667
49,2005-02-01,242.478758333,7477.7723275,,8.869495,8188.56718583,133.374083333,288.98725,35.1891025
50,2005-03-01,236.760991667,7548.73759583,,8.70571833333,8250.730935,134.010914167,285.285333333,35.2917125
51,2005-04-01,223.617171667,7561.26862583,,8.35042666667,8242.96979333,133.672036667,278.688833333,35.4596141667
52,2005-05-01,220.732039167,7534.8478225,,8.46980583333,8213.23909167,131.9824275,278.738416667,36.4896608333
53,2005-06-01,212.803335,7556.80634583,,8.11406666667,8221.07742917,130.091245833,274.425666667,36.791935
54,2005-07-01,210.030035833,7556.11843583,,8.60434333333,8201.11093917,115.913591667,271.449583333,36.8680325
55,2005-08-01,205.489283333,7575.5982925,,8.7442325,8219.8244,121.861084167,268.731583333,37.2807583333
56,2005-09-01,203.031639167,7592.80409833,,8.53575333333,8234.33431583,121.441421667,268.56225,37.7326541667
57,2005-10-01,201.943749167,7551.29977083,,8.31990416667,8174.52436667,109.21215,264.227666667,37.2050433333
58,2005-11-01,203.485791667,7590.4274125,,8.35677083333,8209.737955,106.373205833,260.946666667,37.7724416667
59,2005-12-01,213.065,7639.5446275,,8.15937333333,8271.15609583,103.169653333,266.998,38.0564416667
60,2006-01-01,215.9750825,7599.87400083,,7.98825,8232.66784917,98.0531691667,270.419916667,38.2331808333
61,2006-02-01,222.178940833,7630.1377875,,7.89314666667,8269.33760833,98.2364191667,271.198949167,37.4344266667
62,2006-03-01,217.205651667,7653.32962417,,8.32148083333,8290.41521417,106.122648333,265.583664167,37.60992
63,2006-04-01,218.570514167,7657.09897833,,8.7665725,8293.83616083,106.904005,262.767095833,37.5762583333
64,2006-05-01,210.90645,7630.59731083,,8.44814166667,8259.82838917,113.815323333,256.370639167,37.6737558333
65,2006-06-01,207.932035,7574.62833,,8.40139333333,8197.17512583,115.267930833,250.993385833,38.032975
66,2006-07-01,199.496158333,7575.61603583,,8.25328583333,8189.55389833,115.2752825,250.426555,38.6544641667
67,2006-08-01,190.555933333,7550.799445,,8.29688,8136.23848333,97.5500441667,248.561375833,38.704985
68,2006-09-01,181.708655,7602.71446167,,8.2829025,8200.72195333,123.779253333,244.054099167,38.4808408333
69,2006-10-01,169.7509075,7615.43767667,,8.4359675,8211.3344025,136.8754625,240.715574167,38.4665375
70,2006-11-01,160.5904375,7605.730585,,8.72072083333,8194.70834167,146.220478333,232.997195,38.7741966667
71,2006-12-01,146.352868333,7562.64771667,,9.255555,8131.61964583,147.878721667,225.203754167,38.521965
72,2007-01-01,139.048916667,7540.2549375,,9.88132166667,8102.10995,149.694788333,222.726890833,38.8019216667
73,2007-02-01,131.073051667,7551.52716417,,9.84388083333,8116.22203833,157.984149167,224.198286667,40.1207208333
74,2007-03-01,131.70395,7545.91346,,9.65440166667,8113.4983175,154.71361,229.885834167,40.2360533333
75,2007-04-01,139.071425,7568.62955,,9.6030425,8138.03802917,154.564744167,224.83897,39.9963375
76,2007-05-01,148.49588,7611.12929417,,9.61677833333,8183.99149333,147.197133333,226.3193575,39.99661
77,2007-06-01,151.453068333,7603.49904833,,9.36985416667,8173.72462,139.262229167,229.520583333,39.3990483333
78,2007-07-01,154.033815,7569.17365917,,9.95653416667,8146.16357333,143.728476667,229.184569167,38.8064666667
79,2007-08-01,153.670605833,7584.9374375,,9.9082175,8169.00193667,146.52134,230.505696667,42.0840675
80,2007-09-01,154.3310575,7512.06075417,,10.2221291667,8057.53632667,107.5127225,230.561048333,41.5756908333
81,2007-10-01,156.0025575,7536.95925167,,10.3452508333,8075.89816333,97.3788075,232.975750833,41.0110908333
82,2007-11-01,154.845120833,7533.57969,,10.4475991667,8063.21876083,86.1754675,236.178089167,40.8982916667
83,2007-12-01,151.685253333,7605.29115333,,10.2676583333,8125.61074333,83.4458016667,234.060338333,39.8310966667
84,2008-01-01,159.789168333,7635.04899417,,10.93936,8155.278355,81.5576958333,228.597288333,38.3015925
85,2008-02-01,169.752465,7565.432445,,10.8544858333,8085.30962833,79.8514108333,220.499121667,37.81659
86,2008-03-01,173.4793525,7481.4376275,,11.2178591667,7998.05677667,78.7054441667,214.793475,37.2580625
87,2008-04-01,181.147203333,7426.2934725,,10.9831991667,7956.60588583,77.2588166667,222.3616325,37.2326716667
88,2008-05-01,188.70453,7396.485585,,10.8215208333,7933.57132583,79.1723458333,219.7042875,37.1102216667
89,2008-06-01,201.904001667,7383.96954667,,11.7045758333,7931.573595,78.8583483333,216.241719167,37.34175
90,2008-07-01,211.844358333,7406.7815575,,11.0272083333,7950.07121417,70.4121108333,211.00786,37.4609566667
91,2008-08-01,218.664408333,7311.05124583,,11.3957941667,7840.52441667,62.0349275,202.144278333,33.7014375
92,2008-09-01,225.214419167,7296.7096475,,11.1926716667,7827.6399675,62.1993708333,196.661355,34.1819125
93,2008-10-01,233.3339575,7215.90670667,,11.2619325,7747.69867,64.7216866667,187.729263333,33.3424658333
94,2008-11-01,252.941514167,7164.19369333,,10.9529525,7700.40009083,66.548615,173.558436667,30.7196591667
95,2008-12-01,268.790664167,7029.88062417,,11.0036791667,7573.55575833,68.4465233333,164.452299167,29.5191441667
96,2009-01-01,276.470084167,7003.132975,,10.5588308333,7552.53555083,73.2025041667,157.464703333,30.2945225
97,2009-02-01,273.5707375,7060.12687167,,10.5863775,7609.34118917,79.2891883333,154.54668,29.92709
98,2009-03-01,278.74287,7162.39938,,10.0602791667,7710.06922667,75.9525658333,151.483413333,30.2265058333
99,2009-04-01,269.241749167,7187.1622825,,10.2714666667,7722.11913833,74.10703,148.397571667,31.9103583333
100,2009-05-01,255.565569167,7193.15894583,,10.5052575,7715.30109417,72.8652883333,150.267474167,32.0451675
101,2009-06-01,253.965971667,7189.00959583,,10.6188641667,7718.72203083,82.6574075,149.565888333,32.0090958333
102,2009-07-01,249.17021,7234.14720917,,10.9528216667,7773.90596917,94.1629533333,152.2471525,32.2877141667
103,2009-08-01,245.381504167,7322.88248417,,10.6181916667,7888.71305417,118.9226025,157.2894225,32.7896058333
104,2009-09-01,242.743339167,7393.63254,,10.7661625,7979.09187667,138.229751667,160.126824167,32.5794775
105,2009-10-01,237.4611125,7442.98032333,,10.5601266667,8032.43410083,141.43175,163.89649,34.8891283333
106,2009-11-01,220.938313333,7465.90244583,,10.5549733333,8047.07526667,140.590210833,171.4970175,36.2266508333
107,2009-12-01,213.024608333,7519.2468775,,10.4056608333,8098.4236025,140.592525,176.4604775,37.3426483333
108,2010-01-01,215.0205,7587.82153917,,10.2286341667,8184.80485,153.392375833,180.175730833,36.6562283333
109,2010-02-01,211.362586667,7621.27005,,10.3473133333,8208.15247917,145.852244167,180.625606667,37.0480416667
110,2010-03-01,202.017306667,7596.89919917,,10.7341758333,8176.66913833,145.975923333,181.8480275,37.5031691667
111,2010-04-01,206.53249,7604.79738833,,11.0996691667,8184.90817833,148.1488825,176.461095833,36.117105
112,2010-05-01,218.2743075,7637.44883,,11.153585,8228.2144675,153.536164167,170.054864167,35.9611208333
113,2010-06-01,216.433631667,7688.83783,,10.7633425,8280.34243833,157.507251667,169.048633333,35.9926108333
114,2010-07-01,230.018639167,7651.87694417,,10.5237566667,8246.5510375,154.870139167,162.0600125,35.618245
115,2010-08-01,237.1790375,7729.90825083,,10.4758258333,8326.69116583,155.275104167,156.6984175,35.6045866667
116,2010-09-01,236.006294167,7705.69162583,,10.6625425,8284.46409583,143.94033,151.68094,35.1009808333
117,2010-10-01,240.537610833,7669.6989025,,11.1089291667,8244.90237167,139.458226667,149.8884375,33.0505
118,2010-11-01,243.575516667,7714.88167,,11.2722033333,8294.3750325,144.5038975,145.372655,33.8423733333
119,2010-12-01,250.637726667,7706.260885,,11.4436858333,8291.75013,146.023475,141.245636667,35.2137841667
120,2011-01-01,247.442665833,7638.00247167,,11.5841041667,8195.9151825,128.792120833,132.995044167,36.3525425
121,2011-02-01,256.371300833,7528.20608917,,11.5731125,8086.48829917,129.7157325,123.650538333,36.3751408333
122,2011-03-01,262.843049167,7441.652535,,11.1453191667,7999.24027167,132.270078333,115.259775,35.5696541667
123,2011-04-01,264.158909167,7337.44714417,,10.6139858333,7904.11313083,146.032178333,112.6388775,32.81415
124,2011-05-01,248.7272125,7212.70684583,,10.3103158333,7804.07517167,188.306920833,113.224395,30.4884766667
125,2011-06-01,231.301836667,7180.59800917,,9.93158,7782.0892925,216.8777975,112.580288333,30.52925
126,2011-07-01,211.127361667,7171.19692083,,9.99767583333,7761.81648833,225.140210833,113.249908333,30.6646333333
127,2011-08-01,202.751543333,7086.9785675,,10.2074241667,7681.17255917,236.745554167,113.371899167,30.6867991667
128,2011-09-01,204.785693333,7057.64969083,,9.9917325,7654.00398667,236.613510833,114.732078333,29.82313
129,2011-10-01,204.060284167,6982.0538225,,9.76602,7579.38137,240.958110833,111.850354167,30.1868616667
130,2011-11-01,209.651351667,6913.38360833,,9.7102125,7514.16289167,241.066216667,110.0036775,29.7342141667
131,2011-12-01,202.428469167,6927.47036583,,9.37954083333,7527.34758833,245.370085833,113.264949167,28.767425
132,2012-01-01,196.815165833,6896.80570667,,8.92704583333,7495.80739167,245.721840833,119.124741667,27.739955
133,2012-02-01,193.027638333,6901.08556833,,9.10493666667,7502.07076167,245.997785,125.857755833,26.3038208333
134,2012-03-01,194.140331667,6945.21020417,,9.5228025,7553.07784417,246.3559925,131.328799167,25.644175
135,2012-04-01,193.141485833,7096.8935875,,9.200495,7700.61868667,245.375593333,127.700291667,27.3332941667
136,2012-05-01,204.958760833,7137.61539083,,9.01940333333,7715.564105,206.862655833,127.426041667,28.6891358333
137,2012-06-01,222.174196667,7092.04658667,,8.94235666667,7653.57815,176.875599167,124.8733875,27.7203316667
138,2012-07-01,234.0037275,7033.18599417,,8.8804475,7585.76313167,159.640028333,122.668128333,26.6296216667
139,2012-08-01,252.0727625,6944.31864167,,8.989865,7493.15694417,141.352869167,120.4532975,25.1438441667
140,2012-09-01,261.139529167,6913.22165,,8.78943416667,7458.764195,130.219805,117.472451667,27.0204033333
141,2012-10-01,263.5704325,6983.1863675,,8.45328333333,7523.3302875,124.259764167,116.912033333,26.14901
142,2012-11-01,261.918015,6978.98120333,,8.19219833333,7515.09082333,123.230816667,116.751219167,25.2956041667
143,2012-12-01,263.513225833,6915.77709333,,8.52731416667,7444.64683083,118.280631667,111.5335375,26.3196333333
144,2013-01-01,272.934501667,6941.9383725,,8.87515166667,7478.41843583,118.195511667,108.536114167,27.2233941667
145,2013-02-01,279.738876667,6985.75723333,,9.09292416667,7566.4274425,155.6552725,106.639826667,28.8482383333
146,2013-03-01,280.066964167,7023.74324833,,8.64451166667,7620.398465,174.547115,102.785400833,30.0984366667
147,2013-04-01,274.018495,6936.55915833,,8.8913325,7545.81401417,190.283525,104.506179167,31.1492033333
148,2013-05-01,265.8745675,6962.89505667,,9.087765,7578.64018333,208.1005975,100.102329167,32.242945
149,2013-06-01,261.4837825,6953.54513333,,9.14439916667,7559.200805,205.486851667,95.4340683333,33.7234375
150,2013-07-01,261.072504167,6968.52077167,,9.22441,7571.34384167,207.107621667,89.8319966667,34.78564
151,2013-08-01,250.78292,7000.33998917,,9.65446666667,7579.27028417,194.83215,86.451575,36.32723
152,2013-09-01,246.827820833,7012.1156175,,10.2646425,7589.63332917,193.4703175,89.4185266667,36.420895
153,2013-10-01,247.787446667,6981.41240083,,10.4527483333,7560.91150583,193.250688333,89.6416633333,36.5617691667
154,2013-11-01,253.638186667,6942.33093333,,10.4991991667,7525.70327417,191.16316,87.9779,37.795875
155,2013-12-01,264.632236667,6987.04714583,,10.3255966667,7592.32335667,201.992005833,87.5302475,37.7062075
156,2014-01-01,261.963916667,6966.8300975,,10.0305183333,7574.70292083,208.299940833,86.0842341667,37.3324483333
157,2014-02-01,259.270896667,6907.1085975,,9.5544225,7482.50049083,179.1152775,85.4247141667,37.4568133333
158,2014-03-01,258.823433333,6889.1124375,,9.85971636364,7485.6109925,196.7857475,88.0503966667,37.3561733333
159,2014-04-01,266.362325833,6819.78603333,,9.80040545455,7420.60565417,189.3684425,92.3487241667,37.3116916667
160,2014-05-01,281.495348333,6758.8067525,,9.91144181818,7372.89724583,186.5891425,92.9584533333,37.5173291667
161,2014-06-01,277.730799167,6805.7430675,,10.3689681818,7433.18810417,202.199415,93.7926133333,37.3881791667
162,2014-07-01,273.345480833,6751.92616083,,9.96791545455,7402.08105583,226.494881667,96.5609925,37.7060391667
163,2014-08-01,284.667396667,6712.74060083,,9.24650818182,7425.83972,279.429130833,96.2021741667,37.3687025
164,2014-09-01,289.114405,6597.94650167,,8.69747454545,7350.02641417,320.898825,90.5720708333,36.5166408333
165,2014-10-01,287.020974167,6537.32596167,,8.63224272727,7327.883525,365.921505833,85.938545,37.1771466667
166,2014-11-01,284.870109167,6448.01222917,,8.53552,7293.76374417,427.421054167,83.0883366667,36.3397441667
167,2014-12-01,281.160934167,6243.84847,,8.62782181818,7124.055955,464.900396667,83.3825383333,36.8105783333
168,2015-01-01,283.623416667,6051.70241833,,8.80212545455,6961.97255,495.810566667,80.37016,36.7604616667
169,2015-02-01,283.2846575,5964.67452667,,8.72918090909,6909.18023917,535.310398333,75.7104091667,36.6729116667
170,2015-03-01,292.720138333,5818.75252667,,8.56735833333,6767.40148167,532.631396667,73.7700358333,36.8049391667
171,2015-04-01,290.1295025,5708.36446083,,8.48822333333,6691.52779167,569.996660833,72.8210616667,36.81682
172,2015-05-01,278.91783,5653.23432583,,8.06403583333,6648.97832583,591.6527425,75.2072325,36.6803391667
173,2015-06-01,285.3550075,5492.84136917,,8.00867166667,6523.07892667,618.883043333,77.8234725,35.2893325
174,2015-07-01,288.484705,5431.2465925,,7.8919925,6501.81023833,653.689290833,80.0475108333,35.5142508333
175,2015-08-01,289.762460833,5405.1421375,,8.09060333333,6495.92299083,668.485544167,83.42604,36.0445116667
176,2015-09-01,297.984995,5436.10229333,,7.95854166667,6564.20533,693.387668333,87.0236058333,37.033645
177,2015-10-01,299.790366667,5431.18116167,,7.92021083333,6571.95892417,699.7459175,89.8686791667,38.8472233333
178,2015-11-01,298.267899167,5454.65855417,,8.24592416667,6582.76052333,684.7698925,92.3643791667,39.6295825
179,2015-12-01,292.989816667,5485.34165917,,7.92083,6593.67626167,671.130255,92.4420783333,39.3275308333
180,2016-01-01,289.827499167,5568.50486167,,7.35282833333,6689.45842417,685.69449,94.1972575,39.7188858333
181,2016-02-01,285.776009167,5532.79032833,,7.5890575,6632.68866833,665.056620833,98.0763016667,39.53212
182,2016-03-01,274.669315,5434.17437167,,7.65870833333,6499.35420167,645.699214167,93.6598991667,39.802805
183,2016-04-01,281.171574167,5409.87724583,,7.56576666667,6491.8681725,659.764161667,90.4135016667,39.6724258333
184,2016-05-01,284.645451667,5334.02661583,1.38416666667,7.78079833333,6448.3611375,692.0113275,86.3789641667,40.3057933333
185,2016-06-01,286.814575833,5364.13816833,1.545,7.31589666667,6485.60232,699.147040833,83.1223308333,41.9389516667
186,2016-07-01,299.1481425,5330.62720083,1.53916666667,7.24261083333,6478.11258917,715.659074167,80.6299258333,41.8703166667
187,2016-08-01,309.169263333,5251.56109417,1.5465225,6.918175,6443.0599325,757.165340833,73.2027241667,42.0805733333
188,2016-09-01,313.695309167,5150.34402833,1.52857833333,6.8628425,6362.2469775,782.604251667,63.2193175,42.3115683333
189,2016-10-01,328.374283333,5007.900665,1.52524,6.90546666667,6247.16101,802.574515,55.77836,42.4117708333
190,2016-11-01,344.411895,4933.47048833,1.52438583333,6.5594725,6163.76668417,783.848793333,48.7671616667,43.3139133333
191,2016-12-01,366.029486667,4886.09820583,1.5771425,6.55287333333,6168.48789,821.245398333,42.1759608333,42.9439741667
192,2017-01-01,375.5015,4769.70908083,1.65708333333,5.88868583333,6098.26630917,864.96903,35.5921525,42.8812666667
193,2017-02-01,381.040273333,4735.15217917,1.85454833333,5.80872916667,6158.60686917,962.082273333,27.3657108333,43.1410216667
194,2017-03-01,386.354511667,4693.38625583,2.02870333333,5.83611916667,6182.3581125,1025.27012833,24.62543,42.9839525
195,2017-04-01,382.0680725,4623.98568583,2.275015,6.0349975,6130.7722075,1052.41794417,18.7790658333,43.5273183333
196,2017-05-01,388.174543333,4626.55883,2.57714666667,5.94501083333,6130.76082667,1047.71379583,14.7854458333,43.301775
197,2017-06-01,398.799244167,4608.547205,2.908875,5.90624416667,6161.23439833,1090.81040667,9.36328,43.4557633333
198,2017-07-01,404.0550025,4644.16836167,3.2524525,5.97364416667,6204.52941083,1099.17706917,2.6001225,43.979355
199,2017-08-01,398.745233333,4653.08582833,3.572465,6.01248083333,6205.9529425,1098.96454,0.0,44.2957366667
200,2017-09-01,397.664751667,4688.55685833,3.8945625,5.95404666667,6261.14231333,1119.43203333,0.0,44.4198558333
201,2017-10-01,395.2162675,4781.08721417,4.12333,6.18908416667,6396.19157167,1163.596795,0.0,44.6069416667
202,2017-11-01,395.782975,4811.92809417,4.33656833333,6.32835833333,6496.85881583,1233.18615333,-0.0096875,44.4751291667
203,2017-12-01,393.223631667,4879.71798833,4.42224833333,6.436615,6573.30600083,1243.62652917,-0.021585,44.91502
204,2018-01-01,393.574851667,4930.6786075,4.66206272727,7.31583666667,6599.26104,1217.12646583,-0.021585,45.29188
205,2018-02-01,398.457520833,4923.48663,4.840211,7.335105,6565.144135,1185.440715,-0.021585,45.08731
206,2018-03-01,404.509236364,5011.36479545,5.01847222222,7.27904181818,6675.11981636,1200.96641,-0.0235472727273,45.4086581818
207,2018-04-01,411.367655,5151.157853,5.08543875,7.219983,6816.79329,1196.225548,-0.025902,45.3038
208,2018-05-01,417.635106667,5314.53864111,5.05199,7.49766666667,7018.17925667,1227.60680222,-0.02878,45.3584266667
209,2018-06-01,415.4977525,5390.77798875,4.908865,7.5246375,7089.5397875,1224.48540125,-0.0323775,45.12481
210,2018-07-01,413.419081429,5350.57082,,7.68752285714,7062.59723429,1240.19123571,-0.0370028571429,44.7357142857
