,DateTime,Hydro,Utility Solar,Petroleum Liquids,All,Wind,Natural Gas,Other Renewable,Nuclear
0,2001-01-01,73.6844166667,,2.645,456.717833333,1.01108333333,0.916666666667,31.8784166667,347.593333333
1,2001-02-01,71.7768333333,,1.49075,451.82475,1.02166666667,0.724166666667,30.21,347.623
2,2001-03-01,73.1945,,1.35716666667,451.605333333,0.899,0.725,29.71025,346.618416667
3,2001-04-01,77.9138333333,,1.34908333333,455.9705,0.876,0.690833333333,30.0518333333,345.964916667
4,2001-05-01,78.2573333333,,1.31141666667,456.237166667,0.883416666667,0.684166666667,29.1633333333,346.820916667
5,2001-06-01,81.1366666667,,1.23341666667,465.445166667,0.895666666667,0.271666666667,29.27625,353.527166667
6,2001-07-01,85.5816666667,,1.17391666667,469.283583333,0.872083333333,0.2675,28.7025,353.558
7,2001-08-01,87.843,,1.10175,471.081083333,0.882833333333,0.275,28.8273333333,353.034
8,2001-09-01,88.075,,0.950166666667,470.52225,0.871833333333,0.279583333333,28.6921666667,352.525333333
9,2001-10-01,88.4270833333,,0.908,469.829,0.876,0.282916666667,28.9548333333,351.256166667
10,2001-11-01,88.3775,,0.840833333333,446.07175,0.8645,0.278416666667,29.6325833333,326.942416667
11,2001-12-01,90.99625,,0.8055,448.658166667,0.843583333333,0.27925,29.4740833333,327.103083333
12,2002-01-01,92.91025,,0.783833333333,454.682583333,0.864333333333,0.272916666667,30.4975833333,330.218
13,2002-02-01,94.204,,1.10641666667,458.288166667,0.815083333333,0.24625,32.3619166667,330.3695
14,2002-03-01,91.4433333333,,1.46016666667,456.48975,0.897916666667,0.229833333333,32.9723333333,330.384
15,2002-04-01,87.14375,,1.64416666667,455.846166667,0.909083333333,0.216083333333,32.843,333.999083333
16,2002-05-01,88.6465833333,,1.6845,461.2705,0.889,0.21525,33.2576666667,337.466416667
17,2002-06-01,88.9155,,1.67616666667,476.889,0.83775,0.21025,33.8435,352.2435
18,2002-07-01,83.5310833333,,1.78758333333,472.22325,0.84875,0.198583333333,34.7783333333,351.927583333
19,2002-08-01,80.6526666667,,1.73233333333,470.165583333,0.838583333333,0.175416666667,35.90925,351.695833333
20,2002-09-01,84.1496666667,,1.71325,474.448333333,0.86825,0.17225,35.6953333333,352.71775
21,2002-10-01,85.5104166667,,1.74941666667,471.630666667,0.877583333333,0.167083333333,34.94825,349.255416667
22,2002-11-01,89.9634166667,,1.79366666667,497.192833333,0.877916666667,0.165916666667,34.3103333333,370.959333333
23,2002-12-01,93.044,,1.83833333333,500.053416667,0.90475,0.169916666667,34.2185,370.7825
24,2003-01-01,96.16975,,1.88391666667,502.330166667,0.902416666667,0.169083333333,33.7613333333,370.346
25,2003-02-01,95.6363816667,,2.2143075,502.6649625,0.917,0.169166666667,34.4226066667,370.2225
26,2003-03-01,94.2672783333,,1.93089,502.670271667,0.94125,0.179583333333,34.1239366667,372.168583333
27,2003-04-01,99.0296508333,,1.70034666667,506.569284167,0.8965,0.178333333333,33.6563708333,372.004583333
28,2003-05-01,101.8320425,,1.61093,480.119045833,0.935916666667,0.173916666667,33.1692408333,343.332916667
29,2003-06-01,103.313544167,,1.57059666667,476.920945833,0.964833333333,0.166583333333,34.150805,337.719416667
30,2003-07-01,104.6737625,,1.6552325,463.9672125,0.977916666667,0.27775,32.9264675,324.434
31,2003-08-01,106.373210833,,1.61089916667,457.862225833,0.946416666667,0.28175,32.0166158333,317.57975
32,2003-09-01,107.320956667,,1.5806075,458.121721667,0.93075,0.281583333333,32.2192408333,316.719333333
33,2003-10-01,109.740094167,,1.50222,464.912966667,0.938916666667,0.2855,32.2926525,321.0925
34,2003-11-01,104.362645833,,1.46104666667,462.3072325,0.935166666667,0.2795,33.2035408333,323.000583333
35,2003-12-01,100.002055833,,1.41121333333,456.91616,0.951583333333,0.269083333333,33.0166416667,322.21725
36,2004-01-01,98.9380375,,1.48333333333,455.864899167,0.947,0.268666666667,33.6731966667,321.501666667
37,2004-02-01,102.2175075,,0.8875125,455.086905,0.966666666667,0.278666666667,32.4455533333,319.257666667
38,2004-03-01,106.324014167,,0.723309166667,457.5999375,0.94,0.301083333333,32.8164491667,317.435083333
39,2004-04-01,103.689374167,,0.7575275,455.449289167,0.9905,0.299416666667,34.1687216667,316.53425
40,2004-05-01,100.609416667,,0.808705,476.714370833,0.966333333333,0.291833333333,34.1449166667,340.8595
41,2004-06-01,96.9189908333,,0.861795833333,476.827593333,0.952916666667,0.306333333333,33.0318083333,345.708666667
42,2004-07-01,96.7792566667,,0.676283333333,490.5027625,0.9385,0.198083333333,34.6803075,358.168833333
43,2004-08-01,97.5799983333,,0.7513925,495.440475833,0.966666666667,0.195583333333,35.5355033333,361.378
44,2004-09-01,95.01226,,0.744589166667,492.484603333,0.968,0.195666666667,35.7545883333,360.7775
45,2004-10-01,92.4908208333,,0.794333333333,489.956975,0.971166666667,0.190416666667,36.4100716667,360.071333333
46,2004-11-01,97.8607783333,,0.84026,485.1484575,0.988916666667,0.197083333333,35.4416691667,350.808666667
47,2004-12-01,100.664201667,,0.8926475,476.302774167,0.9715,0.2,35.4745083333,339.071416667
48,2005-01-01,100.9009525,,0.848249166667,476.396219167,0.957166666667,0.186666666667,35.1647666667,339.295583333
49,2005-02-01,102.90214,,0.792035,480.696689167,0.92325,0.175333333333,36.0668466667,340.760333333
50,2005-03-01,105.489279167,,0.786035833333,483.986904167,0.92175,0.138666666667,36.9692558333,340.603666667
51,2005-04-01,105.9020675,,0.760316666667,485.960504167,0.900583333333,0.147166666667,36.8617866667,342.289166667
52,2005-05-01,105.673929167,,0.760451666667,494.281324167,0.898416666667,0.155416666667,37.6888591667,350.002666667
53,2005-06-01,109.484235833,,0.76045,503.358113333,0.910416666667,0.131583333333,37.7901758333,355.191666667
54,2005-07-01,113.413140833,,0.741308333333,514.251183333,0.892416666667,0.1325,37.5847325,362.3795
55,2005-08-01,118.579104167,,0.737425833333,529.770938333,0.886333333333,0.139,37.1530725,373.162333333
56,2005-09-01,124.993801667,,0.7338075,543.292626667,0.908083333333,0.1355,37.4915166667,379.938
57,2005-10-01,127.8224025,,0.715829166667,551.822039167,0.908166666667,0.1405,36.5111391667,386.632166667
58,2005-11-01,127.188325,,0.686884166667,568.77824,0.924833333333,0.13075,37.6835291667,403.08875
59,2005-12-01,127.037206667,,0.67259,584.783425,0.89,0.131,38.2206266667,418.722
60,2006-01-01,126.555400833,,0.61425,590.361973333,0.890666666667,0.15625,37.4924883333,425.543583333
61,2006-02-01,120.309110833,,0.631741666667,590.208185833,0.915333333333,0.165068333333,36.8655983333,432.236666667
62,2006-03-01,113.088893333,,0.722114166667,588.883706667,0.927166666667,0.164423333333,36.702525,438.20575
63,2006-04-01,108.646804167,,0.76204,588.757483333,0.94075,0.163375,36.15918,443.026083333
64,2006-05-01,104.70675,,0.7378075,584.456391667,0.926583333333,0.169673333333,36.4514941667,442.390666667
65,2006-06-01,98.2872933333,,0.715571666667,555.847509167,0.915583333333,0.1799625,36.6966825,419.968
66,2006-07-01,89.1564,,0.705703333333,537.644945,0.94,0.1811325,36.6327941667,410.968916667
67,2006-08-01,80.5860758333,,0.67358,528.179205833,0.94375,0.183343333333,36.28621,410.45
68,2006-09-01,70.1606708333,,0.63116,509.5649775,0.91825,0.182399166667,36.1099166667,402.480833333
69,2006-10-01,63.5390558333,,0.634290833333,493.022640833,0.887166666667,0.176554166667,37.0249116667,391.647833333
70,2006-11-01,59.77447,,0.6353425,486.730313333,0.85575,0.176005833333,36.9981675,389.146333333
71,2006-12-01,56.9574925,,0.621320833333,487.84136,0.888083333333,0.16559,38.0007958333,392.096166667
72,2007-01-01,53.88371,,0.650959166667,485.298458333,0.875916666667,0.157394166667,38.6290666667,391.977333333
73,2007-02-01,60.1447333333,,0.6063,491.3911725,0.890333333333,0.16373,38.22308,392.253333333
74,2007-03-01,67.6450758333,,0.507085833333,500.268135,0.882666666667,0.171680833333,37.9894625,393.954833333
75,2007-04-01,75.9393608333,,0.47176,509.538181667,0.862166666667,0.162835833333,39.0940616667,393.870166667
76,2007-05-01,82.7708366667,,0.4584425,517.270923333,0.853,0.152310833333,39.2810041667,394.608333333
77,2007-06-01,87.1517041667,,0.459839166667,544.650104167,0.87325,0.160396666667,38.6382516667,418.239916667
78,2007-07-01,93.4204008333,,0.461753333333,558.489465833,0.873166666667,0.159814166667,38.7317508333,425.71575
79,2007-08-01,97.92558,,0.457038333333,554.971725,0.861083333333,0.156654166667,38.6977058333,417.73475
80,2007-09-01,107.5213075,,0.433993333333,571.632990833,0.873666666667,0.169665,37.078945,426.429083333
81,2007-10-01,109.167434167,,0.418989166667,582.593948333,0.87225,0.17478,36.9584966667,435.87425
82,2007-11-01,112.496690833,,0.399453333333,570.584920833,0.873083333333,0.18829,36.45882,421.041666667
83,2007-12-01,118.373544167,,0.391691666667,563.0345125,0.863916666667,0.212905,35.8651216667,408.19125
84,2008-01-01,124.4086625,,0.355475833333,568.351331667,0.852916666667,0.221286666667,35.4448233333,407.921083333
85,2008-02-01,121.815019167,,0.3799125,565.522924167,0.86275,0.225873333333,36.64087,406.46125
86,2008-03-01,120.063930833,,0.369446666667,561.396925,0.902,0.247536666667,35.56843,405.147583333
87,2008-04-01,121.996030833,,0.352429166667,562.838613333,0.908083333333,0.283716666667,34.2601891667,405.94625
88,2008-05-01,122.801101667,,0.3375525,565.765029167,0.95775,0.297396666667,33.8479791667,408.481
89,2008-06-01,126.34052,,0.308920833333,569.77679,0.950666666667,0.316293333333,34.1732241667,408.637833333
90,2008-07-01,127.193629167,,0.268705,569.431668333,0.922666666667,0.33744,34.0411466667,407.59075
91,2008-08-01,131.866576667,,0.239051666667,582.49675,0.926416666667,0.359694166667,34.1135125,415.917916667
92,2008-09-01,127.951061667,,0.2428925,579.242891667,0.909,0.368875833333,35.2598141667,415.42025
93,2008-10-01,127.790154167,,0.233019166667,581.365091667,0.910833333333,0.367580833333,35.6250908333,417.34925
94,2008-11-01,126.292151667,,0.232811666667,597.895268333,0.924083333333,0.374098333333,36.2208783333,434.775333333
95,2008-12-01,123.773001667,,0.220093333333,605.8151175,0.921,0.373728333333,35.2656316667,446.182666667
96,2009-01-01,123.818778333,,0.2032425,606.862359167,0.96575,0.369233333333,35.7537766667,446.717333333
97,2009-02-01,123.247659167,,0.153356666667,606.802179167,0.953666666667,0.371043333333,35.7632908333,447.266833333
98,2009-03-01,121.834468333,,0.15033,606.43718,0.965416666667,0.3666525,36.7508158333,447.334916667
99,2009-04-01,118.264463333,,0.14871,602.85139,0.9835,0.3635075,37.1147125,446.96
100,2009-05-01,118.4716225,,0.150888333333,593.8413775,0.981916666667,0.361458333333,37.1754958333,437.681916667
101,2009-06-01,116.106958333,,0.182891666667,557.039576667,0.980166666667,0.348835,37.9143116667,402.486583333
102,2009-07-01,114.84303,,0.204931666667,558.1289725,1.02008333333,0.3396925,38.5124041667,404.228916667
103,2009-08-01,107.611100833,,0.282990833333,550.924094167,1.03766666667,0.327486666667,39.2188516667,403.483666667
104,2009-09-01,104.633668333,,0.32528,547.884309167,1.067,0.306241666667,39.0953708333,403.52375
105,2009-10-01,104.218320833,,0.346771666667,546.561196667,1.10441666667,0.318825833333,38.9701125,402.707166667
106,2009-11-01,110.603576667,,0.346081666667,552.630719167,1.13433333333,0.319665,38.5789783333,402.782416667
107,2009-12-01,115.3494325,,0.361500833333,554.26624,1.13733333333,0.309301666667,39.7290883333,398.516916667
108,2010-01-01,112.2405825,,0.3757275,551.665833333,1.15766666667,0.3152225,40.1948825,398.539416667
109,2010-02-01,112.722694167,,0.478828333333,552.7567875,1.12041666667,0.317753333333,39.7975933333,399.439916667
110,2010-03-01,111.582295833,,0.534783333333,551.372305,1.06641666667,0.315060833333,39.7416625,399.1985
111,2010-04-01,114.073938333,,0.556935,554.52428,1.07025,0.3091375,40.1092666667,399.475
112,2010-05-01,113.005583333,,0.577254166667,561.919420833,1.06391666667,0.293395,39.4761033333,408.567083333
113,2010-06-01,116.114815833,,0.549096666667,597.8047375,1.03333333333,0.306746666667,37.5918275,443.24225
114,2010-07-01,119.9637725,,0.538654166667,601.4913375,1.02033333333,0.310860833333,36.8711333333,443.806916667
115,2010-08-01,117.147801667,,0.5934425,598.361775833,1.01633333333,0.30585,36.9925975,443.322083333
116,2010-09-01,114.904738333,,0.6048175,596.451539167,1.00541666667,0.308751666667,37.8543983333,442.778833333
117,2010-10-01,120.808666667,,0.648099166667,598.065160833,0.963083333333,0.302976666667,37.5256683333,438.77975
118,2010-11-01,121.702395,,0.679258333333,566.908875,1.22133333333,0.291709166667,36.3107633333,407.92475
119,2010-12-01,115.336229167,,0.702710833333,561.529141667,2.03191666667,0.28207,36.0754658333,409.132666667
120,2011-01-01,118.72775,0.151250833333,0.679819166667,564.684900833,2.76541666667,0.273115,36.0579675,408.94625
121,2011-02-01,118.118605,0.156758333333,0.605028333333,561.942948333,3.66941666667,0.2625925,35.99339,406.963333333
122,2011-03-01,118.915885,0.1651175,0.541248333333,561.790318333,4.311,0.258499166667,35.630605,406.444083333
123,2011-04-01,117.1277825,0.180413333333,0.516373333333,553.540810833,4.89758333333,0.246545,35.0517791667,400.598333333
124,2011-05-01,114.767740833,0.202468333333,0.49912,546.254013333,5.71625,0.2647025,36.110035,394.612416667
125,2011-06-01,112.186378333,0.2117225,0.503771666667,543.5045475,6.27933333333,0.245761666667,37.1468033333,393.421833333
126,2011-07-01,106.027025833,0.219258333333,0.548905833333,527.501960833,6.80966666667,0.22877,36.9711758333,383.726083333
127,2011-08-01,105.964415833,0.22885,0.4578975,525.8312975,7.085,0.224325833333,36.6544933333,382.530166667
128,2011-09-01,105.750229167,0.222298181818,0.403189166667,524.5884825,7.37508333333,0.225523333333,36.5664583333,381.643083333
129,2011-10-01,100.406935,0.222143,0.334894166667,521.89266,7.88441666667,0.209068333333,35.7107641667,385.231
130,2011-11-01,97.0648458333,0.226292222222,0.306010833333,546.520508333,8.4755,0.194779166667,35.0948733333,413.86
131,2011-12-01,97.0708991667,0.24171,0.285983333333,550.908018333,8.70741666667,0.206101666667,36.8896183333,416.455416667
132,2012-01-01,95.9434175,0.26372,0.28498,550.982176667,8.90808333333,0.211564166667,38.76405,415.778166667
133,2012-02-01,96.8523333333,0.320508571429,0.353518333333,554.430328333,9.83944583333,0.223070833333,40.7890741667,416.212333333
134,2012-03-01,96.1969116667,0.40234,0.434430833333,553.722954167,10.938075,0.225623333333,42.674405,414.191583333
135,2012-04-01,92.9052608333,0.510928571429,0.425425,529.517349167,11.7790508333,0.233395,45.4925191667,390.46075
136,2012-05-01,94.9788866667,0.61867,0.423371666667,530.858575,12.5138966667,0.2225325,46.6424516667,388.591333333
137,2012-06-01,92.1087816667,0.726234285714,0.4165575,532.5192625,13.6575575,0.225690833333,49.4117341667,390.3565
138,2012-07-01,97.6683858333,0.855417142857,0.366701666667,549.723683333,14.34597,0.2342,51.6838141667,399.770583333
139,2012-08-01,105.9130575,0.97511,0.365095833333,560.802580833,15.0772775,0.23252,52.782075,401.509833333
140,2012-09-01,109.518856667,1.0330625,0.3516775,567.114641667,16.047685,0.233881666667,54.3541433333,402.656083333
141,2012-10-01,112.1004075,1.18272333333,0.349680833333,570.136560833,17.0371975,0.242445833333,57.3272775,400.11675
142,2012-11-01,106.907814167,1.315081,0.339335,569.628806667,18.0083275,0.254625833333,60.5961183333,401.530916667
143,2012-12-01,108.1921075,1.38278636364,0.327556666667,573.666713333,18.9793275,0.2520875,61.653465,403.2415
144,2013-01-01,107.159334167,1.441085,0.425289166667,573.742500833,19.6695,0.252429166667,62.0448683333,403.860583333
145,2013-02-01,108.550498333,1.46882416667,0.564645833333,576.7197175,20.3828933333,0.245191666667,62.8573841667,404.502
146,2013-03-01,107.801781667,1.489505,0.541345833333,578.313329167,20.6311675,0.240554166667,63.9574008333,405.77225
147,2013-04-01,104.468683333,1.53280416667,0.628843333333,605.431039167,21.6504758333,0.239585833333,64.9997625,435.094166667
148,2013-05-01,104.295598333,1.59284416667,0.622709166667,613.369435833,22.80194,0.238694166667,66.4046025,441.807833333
149,2013-06-01,109.845385,1.65221916667,0.622195833333,617.254918333,23.2828891667,0.226695833333,64.49156,442.069083333
150,2013-07-01,106.595206667,1.71332,0.615986666667,613.135330833,23.4674433333,0.220465833333,64.7329233333,440.97075
151,2013-08-01,101.372398333,1.82596583333,0.575059166667,608.360999167,23.7908691667,0.220759166667,65.2017008333,440.991083333
152,2013-09-01,100.61357,1.927525,0.573101666667,607.102645,23.8535125,0.217538333333,64.3521866667,441.34625
153,2013-10-01,96.9844883333,1.96358666667,0.5687725,605.390841667,24.2587616667,0.214515833333,64.0588158333,443.56425
154,2013-11-01,99.2532058333,1.9702225,0.56414,606.057993333,24.9972458333,0.212256666667,66.05564,439.97275
155,2013-12-01,96.9332991667,1.97755416667,0.555529166667,597.65985,25.669835,0.207476666667,66.3587941667,433.60475
156,2014-01-01,97.9434175,1.96133083333,0.4560875,585.949498333,25.9424991667,0.205376666667,65.62945,421.715166667
157,2014-02-01,94.1052525,2.0849575,0.22828,543.986634167,26.4722191667,0.213453333333,65.7211491667,418.602
158,2014-03-01,92.6385241667,2.25237166667,0.333105833333,509.786773333,26.9146483333,0.208945833333,66.3916158333,420.2575
159,2014-04-01,91.921075,2.47900916667,0.2519175,470.8197775,27.22398,0.196413333333,66.79554,415.539777778
160,2014-05-01,91.6634816667,2.73085,0.251108333333,433.979731667,27.1141766667,0.192320833333,66.5671566667,412.9585
161,2014-06-01,87.4664,2.97362333333,0.247899166667,392.695424167,27.316395,0.220514166667,67.8341958333,406.159571429
162,2014-07-01,92.3449991667,3.2141225,0.2476025,361.873161667,27.6107808333,0.209405833333,67.5946558333,
163,2014-08-01,96.6229641667,3.4159975,0.250594166667,329.550868333,27.9674616667,0.1948475,68.140215,
164,2014-09-01,95.7198966667,3.62048166667,0.251155833333,292.5934425,27.9393575,0.178944166667,69.2531983333,
165,2014-10-01,96.1613016667,3.73856416667,0.262240833333,257.346908333,27.2230958333,0.171216666667,68.6162358333,
166,2014-11-01,94.7313016667,3.82398583333,0.264016666667,221.6364225,27.1448166667,0.153009166667,68.6880158333,
167,2014-12-01,94.9077641667,3.9207225,0.26261,190.8829075,27.0009716667,0.1436075,68.7755125,
168,2015-01-01,94.9581683333,4.0018325,0.254654166667,165.1706225,27.11375,0.124448333333,69.833355,
169,2015-02-01,99.3204583333,3.99628916667,0.250280833333,169.692021667,26.5792916667,0.100836666667,70.0204483333,
170,2015-03-01,106.63954,4.12112916667,0.1249925,176.983178333,26.6518708333,0.09334,70.1253075,
171,2015-04-01,117.938699167,4.0934775,0.1180525,187.084575833,25.9184175,0.0934316666667,68.934395,
172,2015-05-01,120.687109167,4.05714333333,0.121025833333,189.524735833,25.1762233333,0.0970791666667,68.6195241667,
173,2015-06-01,116.362145,4.12681083333,0.129508333333,185.299018333,24.7359,0.0748758333333,68.7324908333,
174,2015-07-01,109.239088333,4.17886,0.135179166667,180.086581667,25.16613,0.07577,70.6365458333,
175,2015-08-01,103.473243333,4.29614,0.155195,174.635946667,25.0724283333,0.08774,70.91977,
176,2015-09-01,102.9435475,4.40142,0.177928333333,173.3166,25.3851008333,0.1130025,70.0821241667,
177,2015-10-01,101.804159167,4.54391916667,0.184091666667,173.220605833,25.6683058333,0.128240833333,71.1041166667,
178,2015-11-01,97.25044,4.69717083333,0.211066666667,167.588583333,25.1539458333,0.145648333333,69.9814291667,
179,2015-12-01,92.6276108333,4.82534666667,0.291599166667,162.3064875,24.174375,0.151704166667,69.235575,
180,2016-01-01,89.7930833333,4.91925,0.334728333333,159.2672575,24.2651675,0.163786666667,68.9756608333,
181,2016-02-01,87.0585683333,5.05286916667,0.329755,155.761055,23.9595833333,0.175291666667,68.1974433333,
182,2016-03-01,82.6177275,5.20205916667,0.3150325,150.924309167,23.9731075,0.185811666667,67.8057408333,
183,2016-04-01,73.084135,5.59261,0.340540833333,141.8434925,24.4632525,0.1979025,68.2209158333,
184,2016-05-01,69.0689858333,5.98237166667,0.352361666667,138.431561667,24.4313225,0.192475833333,68.81774,
185,2016-06-01,75.6688458333,6.26203333333,0.411766666667,144.771874167,24.3382725,0.188135833333,68.5031283333,
186,2016-07-01,83.7144841667,6.82044583333,0.412428333333,151.9159025,23.8862383333,0.191975833333,67.5970175,
187,2016-08-01,90.8716441667,7.28686333333,0.3929475,159.510076667,23.3579908333,0.181268333333,68.06422,
188,2016-09-01,93.56805,7.74516916667,0.3756125,163.375045,23.1274266667,0.166105833333,69.26528,
189,2016-10-01,97.2107641667,8.042585,0.391054166667,166.9640525,23.1241591667,0.161820833333,69.2004158333,
190,2016-11-01,99.61452,8.2736375,0.413601666667,170.1153675,23.2823291667,0.145554166667,69.9416958333,
191,2016-12-01,106.891166667,8.25674666667,0.3477375,177.056470833,24.3279633333,0.1371875,69.6803833333,
192,2017-01-01,106.697333333,8.2334175,0.594403333333,178.449030833,25.4505008333,0.150611666667,71.0066858333,
193,2017-02-01,105.9256125,8.42663833333,0.627396363636,180.04597,26.4320541667,0.150035833333,73.1223583333,
194,2017-03-01,106.864015833,8.55525833333,0.651158,181.944804167,27.0961,0.142541666667,74.1108908333,
195,2017-04-01,109.7016875,8.66407666667,0.684086666667,185.779348333,27.5258741667,0.1333075,75.1359266667,
196,2017-05-01,108.085925833,8.97787333333,0.680917777778,185.574525,28.6356683333,0.148511666667,76.5340383333,
197,2017-06-01,105.325925833,9.41506833333,0.6614575,183.233435833,29.5111525,0.136713333333,76.9987891667,
198,2017-07-01,99.8300325,9.92073083333,0.739784285714,178.261723333,30.3814175,0.138139166667,77.5015975,
199,2017-08-01,96.7002983333,10.1766291667,0.84778,175.290788333,31.3570791667,0.159054166667,77.6234925,
200,2017-09-01,99.4923591667,10.5081708333,,178.969915833,32.1916791667,0.15285,78.4936541667,
201,2017-10-01,103.485698333,10.9641508333,,183.979813333,32.8054625,0.143381666667,79.520585,
202,2017-11-01,110.240010833,11.2801458333,,191.246735,33.3056858333,0.160153333333,80.0560533333,
203,2017-12-01,111.951068333,11.5645783333,,193.5033575,33.2913583333,0.165021666667,80.6003966667,
204,2018-01-01,115.967040833,11.9458733333,,196.425405833,32.7841466667,0.149720833333,79.8033975,
205,2018-02-01,119.8149075,12.2347616667,,199.260503333,32.3044491667,0.155300833333,79.0397608333,
206,2018-03-01,121.212483636,12.64137,,199.752857273,31.6836009091,0.160532727273,78.1194845455,
207,2018-04-01,121.605362,12.921155,,198.787978,31.187463,0.161406,76.747584,
208,2018-05-01,122.033961111,12.93816,,198.905474444,30.6195011111,0.15781,76.4279633333,
209,2018-06-01,122.25133625,12.7781925,,201.0107,30.289405,0.17743,78.31398875,
210,2018-07-01,123.9862,11.9829214286,,203.074872857,30.1563542857,0.181271428571,78.6515385714,
